barrage	keyword
7分钟放完，正好领盒饭	行为6-快递
老外菜的一逼，把把落地成盒！还是B皇历害！	行为6-快递
巴西老哥开车猛啊	陆地载具
我已经又三级头了	头盔
有三级头	头盔
要是不更博就只能私信轰炸了	行为7-炸
成盒就流局?公平呢?	行为6-快递
人均三级头	头盔
怎么一直在跑毒	行为3-跑圈
我怀疑你们在开车，但是我没有证据	陆地载具
吉利服，信号枪	防具
敌人优先攻击吉利服	防具
带两盒上去	行为6-快递
我的天，感谢大哥的七夕礼盒/{jx	行为6-快递
莫名觉得吉利服好可爱	防具
一级头不敢动	头盔
拉风龙偷过的装甲车可饶地球两圈半	陆地载具
晚上开车更舒服	陆地载具
送一块钱的礼物就有主播家的牌牌啦 送十个礼盒就有可爱徽章/{sh	行为6-快递
感谢 小哥哥zZ 小可爱送的1个七夕礼盒亲亲抱抱/{sh	行为6-快递
你咋又开车	陆地载具
来个八倍镜	附加武器
没了，一开车就没了	陆地载具
被一个一级头的灭队，小暖啊，涨能耐了啊	头盔
感谢涛爷老司机的35个虎粮，爱你/{sh	陆地载具
刚刚不是有人上车吗	陆地载具
真。人体描边	行为10-菜
开车啊	陆地载具
开车是不是	陆地载具
哇fpp开车好刺激	陆地载具
各位乘客天台已到站，下一位请上车	陆地载具
一個禮盒可以卡个牌牌支持主播喔❣	行为6-快递
三级头拿出来	头盔
别人礼盒主播肯定感谢了	行为6-快递
感谢 最凉不过人心i 送的1个七夕礼盒么么哒!/{66	行为6-快递
八倍镜不好用嘛	附加武器
小暖你竟然不开车	陆地载具
盒子精	行为6-快递
一个礼盒教做人/{fe	行为6-快递
不刷三级头的呀	头盔
死就说菜，杀人刘说炸鱼，要么就说挂，别看了行吗	行为7-炸
大哥也怕轰炸区	行为7-炸
保镖换房间了吗	身份2-队友
有人上车了	陆地载具
差2个握把	附加武器
老司机，我来看你了	陆地载具
开车注意安全	陆地载具
我怀疑开车	陆地载具
包里有红点	附加武器
真的微博运营好强，日常天命圈	行为3-跑圈
824的上树	行为10-树
最少五局盒	行为6-快递
都开船了，没人过桥了	海上载具
荷兰b哥上车了	陆地载具
感谢 凌飞 送的1个七夕礼盒么么哒!/{66	行为6-快递
谁要看孤存炸鱼塘	行为7-炸
盒子拿	行为6-快递
又开始反向跑毒	行为3-跑圈
近战 切红点 十字的	附加武器
/{dk/{dk/{dk/{dk20个盒子又是66锅子，有毒吧	行为6-快递
不换红点吗？	附加武器
上车上车/{jx	陆地载具
mk47装轻型握把单点也很爽	附加武器
妹妹你坐船头，哥哥我穿裤头	海上载具
红点不用？	附加武器
开车拉位置	陆地载具
这保安还走曲啊～	身份2-队友
为什么不叫装甲车呢	陆地载具
翻车现场实况	陆地载具
炸鱼后遗症	行为7-炸
这是落地成盒的直播间吗/{jx/{jx	行为6-快递
不喝饮料的么	药品
来开播盒子？	行为6-快递
来了，老弟，四号盒精。	行为6-快递
三级头，甲。	头盔
开盘   落地成盒	行为6-快递
感谢 流年似水 ，谢谢1个七夕礼盒	行为6-快递
傻子，红点没拿	附加武器
全是二级头	头盔
欢迎 bug-盒子 大佬降临，点个订阅呗/{66	行为6-快递
到了先扔烟再扔手雷	投掷道具
这个地形 吉利服好用	防具
不开车去吗	陆地载具
送快递的太给力了。	行为6-快递
半截式握把可还行？	附加武器
2级头换1级头	头盔
有个盒子	行为6-快递
感谢 我是一颗小虎牙 小可爱送的1个礼盒亲亲抱抱/{sh	行为6-快递
感谢南橙的礼盒/{66	行为6-快递
开车杀人，牛逼啊	陆地载具
怀中舔妹盒 ，萨瓦迪卡~	行为6-快递
装甲车轰炸区是两次，手雷四次能炸	陆地载具
感谢大灏的礼盒，么么哒	行为6-快递
你队友平底锅已准备就绪，不日将地打战场，请主播小心翻车	陆地载具
带我上车	陆地载具
主播确实水，你们上车快带带她。	陆地载具
能不能别开车	陆地载具
感谢社会我榜八久帝-不如的七夕礼盒/{xd	行为6-快递
我要上车！	陆地载具
我要是一号我他么能把他盒子都炸烂	行为6-快递
为什么猪头喜欢3倍镜啊	附加武器
scar直角握把好用	附加武器
绝子骑摩托车过来头接雷。😂️😂️😂️	陆地载具
叫你上车	陆地载具
可以带观众上车吗？	陆地载具
侧边镜和红点开镜一样快	附加武器
不表演成盒了吗	行为6-快递
土豪啊两 三级头	头盔
雪地图是有三级头的	头盔
包里有八倍镜	附加武器
请你稳点开车	陆地载具
天天炸鱼	行为7-炸
你这红点，单发？？？	附加武器
我要上车了	陆地载具
轰炸区炸倒一个	行为7-炸
保镖喊你	身份2-队友
块开车找人干	陆地载具
红点来一下	附加武器
估计开车上瘾	陆地载具
八点半！开车得十多分钟	陆地载具
要保镖的M24	身份2-队友
感谢 告白的大大奈 小可爱送的1个七夕礼盒亲亲抱抱/{sh	行为6-快递
一直天命圈，有预感	行为3-跑圈
人坐车走了	陆地载具
小黑盒排名99	行为6-快递
保镖，我现在选公会，应该怎么选？/{fe/{fe/{fe	身份2-队友
我最喜欢盒勇这个环节  跳栏杆上杀人	行为6-快递
摩托车加空投等于什么	陆地载具
，6倍镜Ak开玩笑嘛	附加武器
劝你不要走轰炸区	行为7-炸
感谢摸摸大的七夕礼盒，么么哒/{xd	行为6-快递
盒饭来一个	行为6-快递
有开车的嫌疑/{66	陆地载具
让你的队友喝饮料	药品
轰炸我电话	行为7-炸
车技那么好订阅了	陆地载具
谢谢七夕礼盒/{tx	行为6-快递
感谢塘主很哇塞的七夕礼盒，爱你	行为6-快递
炸鱼塘啊	行为7-炸
死于跑毒	行为3-跑圈
这简直是一帮老司机啊	陆地载具
文章都上了八倍镜和P城办事处的	附加武器
小安自己开车了	陆地载具
感谢 末日 小可爱送的1个礼盒亲亲抱抱/{sh	行为6-快递
喝饮料居然不用摘口罩。。。	药品
人体描边	行为10-菜
开车顶个掩体不来不香？  只是近点那个拉过来太快了	陆地载具
开车开车	陆地载具
职业能一样吗不用红点也能打	附加武器
拉风龙就是天天炸鱼，现在我们都不看了。	行为7-炸
一言不合就开车吗	陆地载具
别开车了/{dx/{dx/{dx	陆地载具
鼻炎要吃药，平时多喝热饮	药品
大郎，该吃药了	药品
人体描边	行为10-菜
究极天命圈	行为3-跑圈
子弹袋不要吗	子弹类
二十个礼盒直接奖池	行为6-快递
装甲车多少枪爆炸？	陆地载具
迷人的盒子精	行为6-快递
队友好菜啊啊啊啊	行为10-菜
不要红点吗	附加武器
感谢全部向我开炮送的1个七夕礼盒/{sh	行为6-快递
摩托车杀手	陆地载具
u一本魔法书即可上车哦	陆地载具
摩托车魔王又来了	陆地载具
小暖开车开大	陆地载具
这是3级头这是3级头这是3级头这是3级头这是3级头这是3级头	头盔
老哥开车不带加速的/{zan/{zan/{zan	陆地载具
感谢"     词穷 _送的1个七夕礼盒/{sh	行为6-快递
我怀疑你在开车但我没有证据	陆地载具
装甲车被打冒烟了。	陆地载具
开车吧	陆地载具
菜鸡桀骜要上车了	陆地载具
一鸡三盒	行为6-快递
感谢Superhero送的17个礼盒,(⊙ω⊙)我的天/{xh	行为6-快递
感谢 兂か名扌旨 送的1个七夕礼盒么么哒!/{66	行为6-快递
水友 接你上车	陆地载具
投弹手撤   机枪手上	行为7-炸
三级头 瞬间没了	头盔
全局跑毒先锋	行为3-跑圈
看星魂能把自己恶心死，搜房子吃药不进圈，反方向跑圈	药品
谢谢 大吉大利,落地成盒, ┈━═☆感情要起步·来点小礼物	行为6-快递
66666二级头换一级头	头盔
感谢 旧  梦 小可爱送的1个七夕礼盒亲亲抱抱/{sh	行为6-快递
上保镖  换人	身份2-队友
我打吃鸡估计每把落地成盒/{fe/{fe/{fe	行为6-快递
肯定预喵的上车位	陆地载具
全息长得太不好看了	附加武器
喝药去去吧	药品
轰炸区炸死了一个	行为7-炸
我可以上车吗。	陆地载具
打比赛 我看李逵战队优先级摩托车	陆地载具
在开车，大家拉好安全带	陆地载具
我昨晚看ibiza开车换座位杀人真牛逼啊	陆地载具
上车啊	陆地载具
你是一级头	头盔
礼盒给你个把有战舰就替换宝图吧	行为6-快递
吉利服拿上啊	防具
你还能开车？	陆地载具
行走的轰炸区	行为7-炸
给摩托车加个油	陆地载具
开车一时爽，一直开车一直爽/{bk/{bk	陆地载具
组保镖	身份2-队友
感谢【只宠辣条】寂送的1个七夕礼盒/{dg	行为6-快递
开车？	陆地载具
骨灰盒哈哈哈	行为6-快递
上车的	陆地载具
感谢 莎富贵的旧情 送的1个礼盒么么哒!/{66	行为6-快递
感谢耀眼 ✨的礼盒，么么哒	行为6-快递
胖子不会再成盒了吧	行为6-快递
准备去网吧了。我要上车。把车们焊死的那种	陆地载具
感谢礼盒	行为6-快递
锤子握把	附加武器
优秀快递员	行为6-快递
假的  装甲车	陆地载具
这个主播真的菜，上次和他跳一个地方，居然都没让我落地成盒	行为6-快递
好的三级头	头盔
机器人 不开车的	陆地载具
谢谢礼盒/{tx	行为6-快递
战舰来啦~老板们冲吖！ 20个盒子才可以拆出舰队哟~	行为6-快递
冰冰你今天上不上车	陆地载具
感谢 派大星-告白confessIon 小可爱送的1个礼盒亲…	行为6-快递
四倍镜不用那个麻瓜	附加武器
二级头！！	头盔
来个高倍 来个天命圈	行为3-跑圈
98k红点移动靶爆头？？？	附加武器
盒子	行为6-快递
你又开车	陆地载具
感谢 Sorry-洋葱 的1个七夕礼盒/{hh	行为6-快递
三级头	头盔
轰炸区是没了吗	行为7-炸
第一个盒子有ak	行为6-快递
不要握把？	附加武器
感谢静静丶送的20个七夕礼盒/{sh	行为6-快递
男人就是要对自己狠一点 的 礼盒 ，阿尼哈撒哟~	行为6-快递
保镖终于不那么刚贴了	身份2-队友
为什么要扔手雷	投掷道具
开车多好啊	陆地载具
我只想说没有手榴弹的嘛	投掷道具
你又开车。/{tx/{tx	陆地载具
这个三级头吸老铁	头盔
艾瑞要开车去送了	陆地载具
每次看你都在被轰炸	行为7-炸
有个好的二级头。	头盔
开船🚤	海上载具
从上车到吃鸡变成了永久车位	陆地载具
你肯定死于跑毒	行为3-跑圈
老司机开车，污污污~	陆地载具
保镖哥实力主播	身份2-队友
开轰炸区	行为7-炸
开车封号。	陆地载具
四倍镜不用？	附加武器
感谢饼干【E呼百应】的礼盒/{xd	行为6-快递
这波盒子血亏	行为6-快递
刚那不是有止痛药没捡	药品
上车就得献祭	陆地载具
你这个红点亮度是不是调的最亮啊	附加武器
上山，天命圈在山上	行为3-跑圈
快拿吉利服	防具
有没有人要裂个礼盒	行为6-快递
m24还是一枪爆二级头 没啥区别的	头盔
感谢 从来不中奖 送的1个七夕礼盒么么哒!/{66	行为6-快递
电话轰炸	行为7-炸
大师可以来开车	陆地载具
一来就开车？	陆地载具
这个声音是老文的保镖么	身份2-队友
保镖啊.你这是要猝死的节奏啊.还加班啊	身份2-队友
康桑哈咪哒，谢谢Ax丶一发入魂【钞票枪】，谢谢七夕礼盒	行为6-快递
一般都把声音开得很大听脚步的，轰炸的时候太吵了	行为7-炸
我垫了520个礼盒，再不出虎牙就真的要倒霉了	行为6-快递
谢谢杰哥的礼盒	行为6-快递
我的天，感谢大哥的七夕礼盒/{hh	行为6-快递
谢谢礼盒，谢谢虎牙玩家-小殷	行为6-快递
感谢泽靖丶【欺负樱桃】送的1个礼盒,我的天(๑•̀ㅂ•́)و…	行为6-快递
开车注意安全	陆地载具
这个图更新后有的房子里面地上有黑色东西都很像握把，托腮板之类	附加武器
艾伦格 遍布德子的盒子	行为6-快递
带两保镖	身份2-队友
莽他上车	陆地载具
三级头。要过来	头盔
马格南不捡八倍镜	附加武器
？？？？？我们怀疑你在开车	陆地载具
怎么说只是个快递员	行为6-快递
。一个被轰炸区炸火的主播	行为7-炸
自己找了个盒子	行为6-快递
今天有个直播间有人十个礼盒中航母	行为6-快递
题目改成3血瓶陪我落地成盒	行为6-快递
教你怎么秀得成盒	行为6-快递
是我我就坐车上三号位	陆地载具
开车？	陆地载具
上车	陆地载具
保镖，文哥叫你	身份2-队友
礼物收了 上车是不可能的	陆地载具
可以送礼盒吗	行为6-快递
换号是打水友的低端号，轮流炸鱼	行为7-炸
我怕你上，落地成盒啊	行为6-快递
队友好菜	行为10-菜
怀疑你在开车	陆地载具
rng炸鱼	行为7-炸
感谢 努尤. 小可爱送的1个礼盒亲亲抱抱/{sh	行为6-快递
再坏的3级头也比全新2级头强	头盔
感谢 啦啦啦啦 的 七夕礼盒 ，大哥有钱 /{sh	行为6-快递
谢谢1个七夕礼盒，谢谢 咳咳	行为6-快递
你们开车也太快了吧	陆地载具
4AM永不天命圈/{gd	行为3-跑圈
560个盒子 连个火锅都没有	行为6-快递
你这车技也是没谁了	陆地载具
别演了保镖。秒了他	身份2-队友
你把自己的二级头放他面前	头盔
1号3号快递员赶紧过来送快递	行为6-快递
阿里嘎多，感谢楚沫，谢谢礼盒	行为6-快递
月光宝盒啊	行为6-快递
保镖你没事吧，你那里台风刮完了.	身份2-队友
牛逼啊这个兄弟车技	陆地载具
/{sq/{sq/{sq/{sq/{sq你是盒子精	行为6-快递
风老弟我想上车	陆地载具
千里送快递	行为6-快递
你没看主播啊 两轮摩托车照样杀人	陆地载具
我问什么红点都压不住	附加武器
干盒子，钞票枪4b.航母6k.舰队5w/{sq	行为6-快递
我还以为又是摩托车比赛	陆地载具
来啊，文上保镖	身份2-队友
炸鱼塘去了这是！号段位够低的	行为7-炸
主播。我可以上车吗	陆地载具
睡觉了保镖明天就8	身份2-队友
居然在开车	陆地载具
石锤，描边挂	行为10-菜
这是炸鱼吗？	行为7-炸
落地的楼里有红点	附加武器
李逵在GLL上也有这么一次 开车干	陆地载具
单排打装甲车伤害翻倍	陆地载具
二级头换1级头？	头盔
谢谢七夕礼盒，谢谢我酸柠檬	行为6-快递
刚刚的盒子有啊	行为6-快递
吃药怎么都可以一抖一抖的	药品
机长，校霸，城管，靶场头，教主！。。	行为12-战神
康桑哈咪哒，谢谢淡淡，谢谢礼盒	行为6-快递
我怀疑你严重开车	陆地载具
明月快上车	陆地载具
办卡能上车吗	陆地载具
这摩托车开的好！	陆地载具
怀疑你们在开车，但我并没有证据	陆地载具
上车的哥们12点YY集合	陆地载具
加油站还有盒子	行为6-快递
感谢 慢慢 送的1个礼盒么么哒!/{66	行为6-快递
开的轰炸挂吗	行为7-炸
开船感觉有机会	海上载具
你是拿了3级甲还是3级头了？这么抗揍？	头盔
开车到处乱画不要命	陆地载具
跑毒跑死，好可爱/{dx/{dx/{dx	行为3-跑圈
稍不留神就开车，你真秀	陆地载具
我要用5年单身换5个天命圈	行为3-跑圈
2级头	头盔
海哥真的去保安了吗	身份2-队友
胖虎开车主播/{xk	陆地载具
明天播吗 明天我上车	陆地载具
兄弟们 看到他开摩托车就细节来了	陆地载具
谢谢 风/水月 ❤≈ Family 的 礼盒╰⋛越是有感情·…	行为6-快递
在和男朋友开车？？？？	陆地载具
每次就光看繁华跑毒了。。。	行为3-跑圈
摩托车	陆地载具
万里送快递	行为6-快递
没有一把天命圈的	行为3-跑圈
叫七七吃药吧	药品
不刷礼物都可以上车吗？	陆地载具
你今天咋那么喜欢开车炸人多的地方	陆地载具
1314上车  明天来	陆地载具
有三级头和没三级头差别太大，拿到三级头我压能	头盔
单人四排炸鱼塘呢	行为7-炸
握把没装枪	附加武器
我知道你在赌桥，我开船走了	海上载具
这是在开车吗	陆地载具
保镖不和他们玩	身份2-队友
落地成盒不是挺正常的吗	行为6-快递
有吉利服吧	防具
一般是豪哥开车	陆地载具
感谢 我榜皮酷少年kg 的1个礼盒	行为6-快递
我怀疑你开车，我还有证据	陆地载具
保镖文哥叫你	身份2-队友
二级头  二级包啊	头盔
乔巴,委婉点,不然大家都怀疑你在开车。	陆地载具
唧唧复唧唧木兰开飞机开的什么机可汗轰炸机	行为7-炸
大锤就是送快递的	行为6-快递
上车是啥意思？	陆地载具
太帅叫个妹妹上车	陆地载具
盒盒盒哈哈哈哈哈哈哈哈	行为6-快递
这把落地成盒	行为6-快递
上车价	陆地载具
我不上车 我小号挂在这看	陆地载具
感谢 我就试试水 送的1个礼盒么么哒!/{66	行为6-快递
握把啊	附加武器
靴靴梦鸡的礼盒	行为6-快递
你是不是老司机	陆地载具
快狠准/{yw又开车	陆地载具
上网吧/{dk保镖	身份2-队友
知道你开车这游戏就结束了。	陆地载具
新号炸鱼塘而已	行为7-炸
谢谢永远12岁的礼盒血瓶	行为6-快递
没有管理吗，那我开车喽	陆地载具
这兄弟不仅给盒子，还派车	行为6-快递
这么多送快递的	行为6-快递
▓cool 的 礼盒 ，阿尼哈撒哟~	行为6-快递
不要打扰我喝饮料	药品
把把在圈边打 还想天命圈？自己怂 怪圈	行为3-跑圈
千里送快递 礼轻情意重	行为6-快递
把摩托车弄着火的，在玩	陆地载具
性感老寒腿在线翻车	陆地载具
豪嫂来了，豪哥别开车	陆地载具
solo赛有装甲车吗	陆地载具
海边有船	海上载具
M24满血二级头，不能爆头了	头盔
感谢 耗子 送的1个礼盒么么哒!/{66	行为6-快递
保镖越来越拉了	身份2-队友
阿里嘎多，感谢跟我走吧，谢谢七夕礼盒/{dx	行为6-快递
反正我用556枪三倍镜压枪很舒服（需要垂直握把）	附加武器
又到了开车环节？	陆地载具
无形开车	陆地载具
举报送人头,开车要死就优秀了	陆地载具
上车的操作	陆地载具
感谢富婆的礼盒儿	行为6-快递
二级头不捡你是憨憨吗？	头盔
嘴上的老司机，行动上的大怂B	陆地载具
上保镖吗，文哥	身份2-队友
xswl这个开车的	陆地载具
天命圈	行为3-跑圈
天命圈把把喂给你天禄都能被噎死……	行为3-跑圈
包里有全息	附加武器
二级包刚刚那个盒子	行为6-快递
不喝饮料?你是假的ibiza	药品
怀疑你开车但是没有证据	陆地载具
开车换位杀人，太秀了，没几个人办得到	陆地载具
究极描边	行为10-菜
感谢虎牙、木鱼的七夕礼盒	行为6-快递
3倍镜不拿吗	附加武器
我怀疑你在开车/{hh	陆地载具
摩托车呢	陆地载具
感谢 幻...... 送的1个七夕礼盒么么哒!/{66	行为6-快递
不是没打过，是刚开车就被打下来	陆地载具
半盒辣椒🌶	行为6-快递
没人上车？？	陆地载具
礼盒怎么回事	行为6-快递
老牛开始送快递了	行为6-快递
开车？	陆地载具
红点换全息啊	附加武器
保镖保镖保镖保镖保镖保镖保镖	身份2-队友
死于跑毒	行为3-跑圈
保镖 你又	身份2-队友
老板又开车	陆地载具
端游3级头只能在空头见	头盔
你已经是一个成熟的八倍镜来，该自己出现了	附加武器
鬼火摩托车	陆地载具
死也要把盒子送到海里去	行为6-快递
今天上班吃药没有	药品
还有船	海上载具
死人的吉利服不吉利	防具
变盒子了？	行为6-快递
自闭城打职业的也有落地成盒	行为6-快递
吃鸡我只服我自己！落地成盒！直接下趟飞机！	行为6-快递
抱紧T大娘的水桶腰上车	陆地载具
谢谢礼盒，谢谢社会我榜七俊俊丶【独宠小可】	行为6-快递
感谢 番茄 送的1个礼盒么么哒!/{66	行为6-快递
她就是在开车，拘她。	陆地载具
谢谢七夕礼盒/{dx	行为6-快递
全息awm肯定特别牛逼	附加武器
可是礼盒没藏宝图耶	行为6-快递
拉风龙?你看他id就知道没事就换号炸鱼	行为7-炸
98k很烦人的，你需要一个三级头	头盔
别在轰炸	行为7-炸
礼盒太坑	行为6-快递
车技感人	陆地载具
一路都在跑毒挨揍	行为3-跑圈
你倒是开车走啊	陆地载具
吉利服啊啊吉利服啊啊吉利服啊啊	防具
快艇都是绿的	海上载具
有船	海上载具
盒子你好	行为6-快递
考科目三的，上车给监考员一包芙蓉王 然后回去等拿证就行了	陆地载具
我也是   我一般都不拿止痛药	药品
我已经放弃礼盒了	行为6-快递
妹子喜欢开车	陆地载具
这局落地成盒	行为6-快递
小暖是开车最稳的老司机了，	陆地载具
楼上有保镖	身份2-队友
感谢 炙热的冷 的1个礼盒	行为6-快递
他那有摩托车	陆地载具
前五靠实力，吃鸡靠天命圈	行为3-跑圈
肥托托是交的车技学费	陆地载具
主播可以带我上车可以马上	陆地载具
别弄荧光棒，换成礼盒好多了	行为6-快递
实锤落地成盒挂	行为6-快递
这是盒饭吗？	行为6-快递
有三级头为什么不拿医疗箱	头盔
瞬间3个盒子	行为6-快递
交警说不能光着脚开车的/{xk	陆地载具
开着摩托车追别人的车	陆地载具
镰刀不是弯的吗	近战武器
大型翻车现场。	陆地载具
感谢礼盒/{sh/{sh	行为6-快递
1块钱的盒子	行为6-快递
一个礼盒爆虎牙一号，/{sh/{sh/{sh	行为6-快递
带保镖啊	身份2-队友
如果*能回去 的 礼盒 ，阿尼哈撒哟~	行为6-快递
盒子精	行为6-快递
炸鱼人气高	行为7-炸
一来就看见你成盒	行为6-快递
这个圈开车进不去了感觉	陆地载具
好车技，平地翻车	陆地载具
你又开车	陆地载具
开车的太他妈牛死了	陆地载具
大盘鸡九八卡一个六倍镜，吃鸡必备/{sh/{sh/{sh	附加武器
半截握把和垂直握把哪个好	附加武器
从天而降的车技	陆地载具
保镖没下播吗	身份2-队友
感谢我哈哈哈哈的七夕礼盒，么么哒	行为6-快递
我想上车、	陆地载具
感谢明明家的巧克力的礼盒，爱你	行为6-快递
6666666666成盒	行为6-快递
老万上车	陆地载具
开车开车	陆地载具
来啦，仙女乔的快递员-MrHsu	行为6-快递
单杀上车	陆地载具
开车直接撞啊	陆地载具
吉利服干嘛不穿啊臭弟弟	防具
肯定翻车死	陆地载具
大郎，该吃药了	药品
老司机开车，污污污~	陆地载具
保镖台风来了	身份2-队友
第一次遇到你就落地成盒了	行为6-快递
前面那几个盒子里有枪托啊	行为6-快递
豪哥正在开车	陆地载具
主播 可以上车吗	陆地载具
黄色吉利服这图几乎没用	防具
二十个礼盒才二十块钱！！！！	行为6-快递
九九 我要上车	陆地载具
翠花 你骑自行车翻车了	陆地载具
骑摩托车的那俩人	陆地载具
2级头啊	头盔
小夜你不是跳伞在空中就变成盒子吗？怎么可能是你	行为6-快递
人造轰炸区	行为7-炸
恭喜龙哥落地成盒。	行为6-快递
谢谢北栀的礼盒/{sh/{sh/{sh	行为6-快递
反向跑毒?	行为3-跑圈
好看的主播都是第一个变盒子	行为6-快递
现在吉利服都没人要了么？	防具
没小药	药品
队友不拿三级头？	头盔
富得流油的快递员嘿嘿	行为6-快递
你的牌牌要几个礼盒？西瓜	行为6-快递
98k现在不是还可以打2级头吗	头盔
谢谢十八的礼盒	行为6-快递
在线翻车	陆地载具
乐胖 会开车了	陆地载具
拇指握把？不用	附加武器
摩托车不错	陆地载具
快上车~	陆地载具
这特么想开车了	陆地载具
川崎摩托车	陆地载具
摩托车就是宝马	陆地载具
我也想上车明天还要上班/{gd	陆地载具
故意成盒	行为6-快递
礼盒有标志	行为6-快递
开船跑了	海上载具
小妹  上车强行四排	陆地载具
性感子豪 在线翻车	陆地载具
开船跑了	海上载具
又成盒子啦	行为6-快递
1号我怀疑你开车	陆地载具
二级头都不要	头盔
各种开车	陆地载具
描边模式	行为10-菜
肯定是摩托车卡BUG给炸死了/{tx	陆地载具
举报有轰炸挂	行为7-炸
感谢颜值界杠把子的七夕礼盒，么么哒	行为6-快递
谁有摩托车切座位杀人的链接	陆地载具
后面盒子信号枪啊！！	行为6-快递
感谢飞吻的礼盒	行为6-快递
大郎们，该喝药了	药品
建议咱们来个牵头的，红点还是靠不住。	附加武器
这么漂了，保镖	身份2-队友
我要看主播天命圈	行为3-跑圈
为毛我那么多礼盒一个没中？？？？？？？	行为6-快递
臭弟弟来把路人，我要看你落地成盒	行为6-快递
来了四号盒子	行为6-快递
感谢忘情水上漂送的1个七夕礼盒/{sh	行为6-快递
翻车了	陆地载具
感谢HGZZ-WuDi的礼盒	行为6-快递
去开车啊	陆地载具
阿里嘎多，感谢 我榜追梦-小虎宝宝 ，谢谢七夕礼盒	行为6-快递
教教我啊，在坐的大佬，怎么开车	陆地载具
开车堵他门把车炸了	陆地载具
开车的声音太吵 不好交流	陆地载具
魔法书上车	陆地载具
哔嘴盒子精	行为6-快递
Ibiza就FPP身法好，红点职业当中比他强的不少	附加武器
盒子精改名了	行为6-快递
年度最佳快递员	行为6-快递
小姐姐我发觉你在 开车	陆地载具
文家铁骑-夕阳：谢谢大表哥的盒子	行为6-快递
肯定落地成盒	行为6-快递
M4扫射啥握把最稳呐？	附加武器
感谢墨云的好多礼盒	行为6-快递
摩托车是机动车	陆地载具
场控，怎么买Nica的这个二级头皮肤	头盔
那样一蹲一蹲的喝饮料不会呛吗	药品
没车车怎么跑毒	行为3-跑圈
小姐姐你开车啊	陆地载具
要开车了？	陆地载具
吉利服啦仇恨	防具
感谢 墨～薰 送的1个七夕礼盒么么哒!/{66	行为6-快递
主楼盒子	行为6-快递
去保镖那边聊？	身份2-队友
二级头二级甲换一下	头盔
老文说：保镖就像个虾米，又瘦又小	身份2-队友
三级头来！！天命圈来！！都来！	头盔
你就奶把，等等就会见到你队友的骨灰盒	行为6-快递
拉面开车好稳	陆地载具
6倍当红点	附加武器
就怕你开车！	陆地载具
保镖等你，老逼	身份2-队友
破产了，，三级头。。。	头盔
为啥无言的礼盒这么吊	行为6-快递
说不能走着吃药的那个  麻烦带脑子说话	药品
好惨哦这开车的	陆地载具
没事看看保镖！别看老外	身份2-队友
200礼盒💝是多少钱？	行为6-快递
阿伟，跑毒的时候被打的	行为3-跑圈
确实是兰小盒……	行为6-快递
还好有轰炸支援	行为7-炸
8倍镜呢	附加武器
怎么上车	陆地载具
十把机场9把落地成盒	行为6-快递
我可以上车吗	陆地载具
弟弟不是合格的保镖	身份2-队友
跑这么远送快递也是辛苦你了	行为6-快递
送钱给开挂炸鱼塘的挂逼主播就舒服了呗	行为7-炸
主播炸鱼中，别吵	行为7-炸
谢谢梦游世界送的礼盒/{sh	行为6-快递
别人炸鱼你是鱼卵局	行为7-炸
落地成盒 还是打野吧	行为6-快递
感谢社会我榜十CC果冻的七夕礼盒	行为6-快递
三级头瞬秒，有点东西	头盔
不求人的笑死我了，他来端游红点都压不住吧？	附加武器
坐船啊，好不容易五杀了小心点	海上载具
阿里嘎多，感谢孤单的自己。，谢谢七夕礼盒	行为6-快递
/{fe双排装甲车90发爆炸	陆地载具
原来这是个盒子精。	行为6-快递
感谢社会我榜十笙歌十里的七夕礼盒	行为6-快递
开船去后面	海上载具
感谢DS-诺言家的-阿航的七夕礼盒	行为6-快递
刚开始就该开车的，有车不开，不卡你	陆地载具
完了，送快递了	行为6-快递
除了炸鱼没啥本事	行为7-炸
礼盒亏死	行为6-快递
青荼大爷在开车，雨我无瓜	陆地载具
摩托车？	陆地载具
艾瑞的车技我可以笑一辈子	陆地载具
感谢(守護)     ◈、苏打（兇弚）送的20个礼盒/{sh	行为6-快递
牛批啊夕阳红枪法。	行为10-菜
喝饮料还只是看看？？？	药品
运气好，连续三枪头？现在两枪头打不死三级头知道么，弟弟	头盔
开车吗	陆地载具
为什么要喝药，生病了吗	药品
别人还是一级头	头盔
开车堵门啊	陆地载具
客服走 上保镖	身份2-队友
送快递还是送外卖？	行为6-快递
二级头	头盔
开啥车呀，天天开车	陆地载具
怎么上车	陆地载具
炸鱼塘有啥意思	行为7-炸
感谢凉城好多的礼盒	行为6-快递
落地成盒挂66666666	行为6-快递
老牛上车啊	陆地载具
巴西开车送快递/{dx/{dx/{dx	陆地载具
大师上车	陆地载具
虎牙你最会开车	陆地载具
你不知道上车吗	陆地载具
二级头不要？？？	头盔
现在礼盒削了	行为6-快递
这个人车技有问题哈哈	陆地载具
保镖66966696	身份2-队友
要是伟神指挥会开船去n港？	海上载具
人体描边挂	行为10-菜
三级头该换了	头盔
我都不敢边开车变看背包	陆地载具
狗子上车 你去找大爷	陆地载具
真的，开车打电话扣2分	陆地载具
132个礼盒必出会暖床	行为6-快递
都坐船过去了	海上载具
吃药	药品
这是高级礼盒	行为6-快递
感谢 猫南北 的 七夕礼盒 /{sh	行为6-快递
